index,Ngram,Year_Added,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sh2002009084,puritan men,2002,1.1500907448613873e-09,1.204511045072021e-09,1.2797130195807418e-09,1.3385638421094445e-09,1.4852280045710551e-09,1.7168193667300394e-09,1.7711558801932916e-09,1.864657878004288e-09,2.187905328636188e-09,2.1814241563904754e-09,2.2039635572917197e-09,2.1821455262789016e-09,2.1144940872646386e-09,2.1206749312956727e-09,2.2160640044241055e-09,1.9943394564760274e-09,2.016816501998475e-09,2.0828459596936416e-09,1.989389564293382e-09,2.0986660697965204e-09,2.3946529600519082e-09,2.6462756019212423e-09,3.069425398373658e-09,3.1876132219887943e-09,3.360302275521944e-09,3.909124685658976e-09,4.143956067181876e-09,4.2005465990456256e-09,4.1809424915217885e-09,4.00729215534785e-09,4.118654089902658e-09,4.004543360108803e-09,3.663799145518589e-09,3.498037179857004e-09,3.3053924815483276e-09,3.268965530806816e-09,3.177053060116857e-09,3.188095332867791e-09,3.4549437423084644e-09,3.4614715682073406e-09,3.5514097491180193e-09,3.5990070735133656e-09,3.6401303662804617e-09,3.7239033716781773e-09,3.837148850644695e-09,3.7117340057994203e-09,3.781520005463612e-09,3.740899411422416e-09
sh2003001245,gingerbread men,2003,3.384709142129072e-08,3.2334880306628123e-08,3.1503152697620607e-08,3.141667839371262e-08,3.216740496886361e-08,3.256807200016246e-08,2.93588636645795e-08,3.083061579744235e-08,3.2412944073784937e-08,3.3966905128857145e-08,3.5722147822111634e-08,3.667173219455501e-08,3.808804998379449e-08,3.985889300958271e-08,3.982990615301687e-08,4.172607280924659e-08,4.297577450058337e-08,4.5111375069985445e-08,4.550681632908837e-08,4.868875979177226e-08,5.459929391541226e-08,5.998287222871593e-08,6.338180301633325e-08,6.76078896993155e-08,6.902224522090502e-08,7.252806443520348e-08,7.421190670320321e-08,7.265366414837312e-08,7.167520045338525e-08,6.951741603002303e-08,6.921272246202774e-08,6.918562392829333e-08,7.223633140064833e-08,7.556013846356434e-08,7.867789530990876e-08,8.241190753631245e-08,9.23949091680143e-08,9.793921121722553e-08,1.0112817248687985e-07,1.0111360938615454e-07,9.924290041350505e-08,9.926398190719864e-08,9.976748682749558e-08,9.890308208130147e-08,9.857370953619034e-08,9.997478392365089e-08,1.0171587284113492e-07,1.0668212799269661e-07
sh2003001876,male social workers,2003,3.878813867319586e-09,3.8537756041900906e-09,3.852969700235409e-09,3.759923747348459e-09,3.763987912523494e-09,3.5546988581824927e-09,3.193797288144776e-09,3.146428624589692e-09,3.131898056372785e-09,2.9444433409321823e-09,3.0038665176289138e-09,3.110708239110828e-09,3.0837688627858933e-09,3.3925288382102056e-09,3.3828406752399255e-09,3.252308121228152e-09,3.287149806816389e-09,3.5046851854157544e-09,3.3139285675728598e-09,3.171452052859656e-09,3.4329985357438114e-09,3.7104950188771024e-09,3.825904845413833e-09,3.836346737308625e-09,3.7733602056436556e-09,3.98307586417314e-09,4.088238857565976e-09,3.7623834375380806e-09,3.6908484582090904e-09,3.743010081444112e-09,3.875022048278292e-09,3.83229002698382e-09,3.695862847906208e-09,3.7157298973800046e-09,3.6853628769738046e-09,3.81317920344507e-09,3.8520153411238295e-09,3.74652245189812e-09,4.0281361232685775e-09,4.320681274071005e-09,4.698501644298921e-09,4.705570907132766e-09,4.503417148618175e-09,4.3648451058887955e-09,4.315669087472702e-09,3.973009977722061e-09,3.745466110871565e-09,3.15080429802439e-09
sh2003002220,male musicians,2003,3.1505431822426155e-09,3.1775854406057563e-09,3.5845583550020436e-09,3.5202732782362624e-09,3.9910316272056305e-09,4.310509719500167e-09,4.552649006296055e-09,4.855159358381688e-09,5.232032383232856e-09,5.234435023819341e-09,5.566049127060062e-09,5.391075831287109e-09,5.724427914823224e-09,5.912493738649946e-09,5.9893682692007445e-09,6.12489101302151e-09,6.389950175140451e-09,7.078256165717255e-09,7.571219381600055e-09,8.042324527565307e-09,8.777886731469494e-09,9.284451630624048e-09,9.940309114025993e-09,1.0729828928631091e-08,1.1201101648884119e-08,1.2001027815856341e-08,1.2811017461648668e-08,1.2841152183251658e-08,1.3350829578282327e-08,1.3892592252686845e-08,1.4198970663423634e-08,1.4083874976474264e-08,1.4087782554108745e-08,1.3668779396541764e-08,1.3343529648276612e-08,1.4006438482253423e-08,1.3932353320636868e-08,1.3780369662835009e-08,1.5958751514721925e-08,1.8851812480117202e-08,1.949697114123469e-08,2.0389771298946957e-08,2.0867745595497855e-08,2.1844255967069992e-08,2.2936042221727296e-08,2.20893966468988e-08,1.959221437933256e-08,2.0034057496287616e-08
sh2003003398,african american gay men,2003,6.868101226631396e-11,5.494480981305116e-11,4.578734151087597e-11,3.9246292723607976e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.347272459208739e-11,5.712696189113282e-11,7.264124123646759e-11,1.1195978221903832e-10,3.109626930952736e-10,5.560270567385649e-10,1.0761647892265636e-09,1.2187707024158279e-09,1.7523338960434565e-09,2.7077860866229847e-09,2.9941679924118586e-09,3.7095582493659342e-09,4.1524577382751855e-09,4.002128023329016e-09,4.216181018895648e-09,4.237501953496814e-09,3.620632152225221e-09,3.730700420217265e-09,3.2976503368253862e-09,2.9613270570835343e-09,3.078488856195216e-09,3.2021585893794923e-09,3.126678130690611e-09,3.3464359210287425e-09,3.174904173889167e-09,3.86417916018297e-09,3.872188416139835e-09,3.886059317591086e-09,3.847587641349547e-09,3.6864259482318113e-09,3.3427212158979434e-09,3.4710169094113017e-09,2.5970745603668253e-09,2.6490702865438513e-09,2.2996538938986025e-09,2.1283782375425275e-09,2.07539918584132e-09,2.191486960650968e-09
sh2003007122,male prisoners,2003,5.097351662639027e-08,4.9929884632371466e-08,5.1199722947425925e-08,5.112127018329955e-08,4.9428602248911634e-08,5.026615702890694e-08,4.7182742967131046e-08,4.842953963898889e-08,4.878979907436767e-08,4.851203989264133e-08,4.795406249026383e-08,4.9592872887174347e-08,5.251912611252208e-08,5.3606845359040404e-08,5.402027011329272e-08,5.4594157874514137e-08,5.346287887645589e-08,5.605612785708877e-08,5.865575206346578e-08,5.7509755841935895e-08,5.770722007340999e-08,5.9006810570630796e-08,6.097994701603373e-08,6.414613804959462e-08,6.554556385251248e-08,6.595790073143926e-08,6.68051627201817e-08,6.999293480566826e-08,7.095258747847173e-08,7.200112394644052e-08,7.180565655615089e-08,7.544352601767432e-08,7.655699529576392e-08,7.645350886502962e-08,7.519722592128473e-08,7.603251822535913e-08,7.667393102521656e-08,7.729510448461247e-08,7.66805301100864e-08,7.729910124834592e-08,8.058264497692869e-08,8.357343362640412e-08,8.35207259761558e-08,8.481159437444067e-08,8.691206012963787e-08,8.542132000528835e-08,8.559683739167711e-08,8.491987849891525e-08
sh2003011466,jewish gay men,2003,8.881245738834309e-11,7.104996591067447e-11,6.864198156634564e-11,5.883598419972484e-11,4.014194780148956e-11,6.270189774139543e-11,6.270189774139543e-11,6.97154283706742e-11,1.2188554976818748e-10,1.2134941365252568e-10,1.434980477697602e-10,1.68052991165814e-10,1.8665299762148686e-10,1.935966416939066e-10,2.0540660739769885e-10,2.045372948392529e-10,3.922388049280658e-10,4.5848256738764293e-10,5.336322197616436e-10,5.626652655703929e-10,6.906076682744455e-10,7.602503309429259e-10,7.42277054306089e-10,6.0138266687921e-10,6.392838907052857e-10,6.176113499591273e-10,6.183513909241434e-10,5.576020825626138e-10,5.626936268123193e-10,6.236114125091063e-10,7.07636318589674e-10,7.479644185761001e-10,7.687460212053259e-10,8.298426707702739e-10,8.608455793439924e-10,9.389142776753243e-10,9.334179084425592e-10,9.127842232059535e-10,8.328512631534351e-10,8.746590029632248e-10,8.277939712665804e-10,8.091980329852763e-10,6.923586396661336e-10,7.302315419011052e-10,7.265634839802105e-10,7.465205109173182e-10,6.653407477741347e-10,6.826377779017845e-10
sh2004001478,deaf gay men,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.529767484129986e-12,7.529767484129986e-12,1.5079639917711265e-11,1.5079639917711265e-11,1.5079639917711265e-11,3.565961811550064e-11,4.95469062603401e-11,4.2017138776210114e-11,1.4461875645434474e-10,1.7746572069020162e-10,1.7746572069020162e-10,1.9808480847657454e-10,2.1260133138094924e-10,2.2711110571536708e-10,2.8226091107276726e-10,1.9299030627552482e-10,1.5259346960608663e-10,1.7253456798181433e-10,1.5829310481433164e-10,2.586142332029949e-10,2.369568742610628e-10,2.0890139172074258e-10,1.9557037883985044e-10,2.301658561164123e-10,2.2537218668675481e-10,2.650534092802597e-10,1.296357797894324e-10,1.3526544666099737e-10,1.1436672392847339e-10,1.261999170839737e-10,9.896370330362915e-11,8.381627435755895e-11,4.4915311053772555e-11,4.4915311053772555e-11,3.254594064488232e-11,4.7294678094468774e-11,3.546148493896847e-11,2.810222144275113e-11,3.278592501654298e-11,2.9322072547799394e-11,3.665259068474924e-11
sh2004002160,black gay men,2004,2.1535415291318305e-10,2.7164391708245363e-10,2.735383141059626e-10,3.2272739788103653e-10,4.0061058339694155e-10,7.676302341790603e-10,9.567821312014437e-10,1.1208883082615616e-09,1.5865234240440363e-09,2.331280117364086e-09,3.4685718801132276e-09,4.778782659765296e-09,7.324480420492099e-09,1.144767812389607e-08,1.3879210195815489e-08,1.606154606586688e-08,1.829938934312063e-08,1.988198999781325e-08,2.220553388189637e-08,2.404242175882024e-08,2.3245644559046127e-08,2.323859036550731e-08,2.3852400792100696e-08,2.454603027482064e-08,2.445650824614168e-08,2.3969673369166648e-08,2.4175329903627522e-08,2.4931648631511457e-08,2.4987717298086132e-08,2.5754635455042604e-08,2.519308337143945e-08,2.6609694996071465e-08,2.744996632874403e-08,2.8101116700461418e-08,2.825249420028233e-08,2.9864863188606394e-08,2.9687895253260876e-08,2.982973787870364e-08,3.231895572939585e-08,3.217802803924331e-08,3.282633228484814e-08,3.3618235897473325e-08,3.494317747555169e-08,3.7470274449197254e-08,3.8850610901974836e-08,3.759716922744719e-08,3.957496936546346e-08,3.849408378858721e-08
sh2004002852,male preschool teachers,2004,2.0338205512088203e-10,2.2894604059797707e-10,2.285230737281152e-10,2.1192528139115018e-10,2.2470701242187959e-10,2.1499771011132147e-10,2.360068608796086e-10,2.4951768429204435e-10,3.1399623575837204e-10,3.118516912957249e-10,3.0318620828203736e-10,2.7384891378355395e-10,2.931089101590853e-10,2.768444204040829e-10,2.6606508464675574e-10,1.6709716646071523e-10,1.8402732215078947e-10,1.7664444411171131e-10,1.6257433246846806e-10,1.7039017171411556e-10,2.0635336445537104e-10,2.0705876646201892e-10,2.2089559001403636e-10,1.9414981775045526e-10,2.473260787640351e-10,2.458398643386975e-10,2.2306943643436916e-10,2.673708630488277e-10,2.9398460699555807e-10,3.211770497375215e-10,3.2846955661366573e-10,3.055881534922264e-10,3.2483765231255164e-10,3.831568039038201e-10,3.0061530794418216e-10,3.393606630827265e-10,3.387555637787302e-10,4.067496077056873e-10,4.125750653814566e-10,5.602976718501106e-10,6.607047067191158e-10,7.916352424776538e-10,7.405899167732345e-10,7.506514715371893e-10,7.120211265825611e-10,7.8855094618376e-10,6.857141646166021e-10,5.455174732077461e-10
