Ngram,Year_Added,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sh00004800,wikis,2000,1.8136739781890454e-08,1.7917894708230354e-08,2.00039218765935e-08,2.037357064701587e-08,2.0329418219270212e-08,1.9113165987405534e-08,2.0586050239468356e-08,2.0045036721752907e-08,1.9993091008644962e-08,1.8855810310457784e-08,1.725068165447533e-08,1.7121501604881543e-08,1.747208709310111e-08,1.8737972775093433e-08,2.0218846924590402e-08,2.09540339999949e-08,2.3795486485995406e-08,2.5409997570343834e-08,2.6835700181867695e-08,2.841550002340748e-08,2.672533229144561e-08,2.7334905304543522e-08,2.7652686042775206e-08,2.5143539342837544e-08,2.60297894176531e-08,2.764646412445734e-08,2.933269195444312e-08,3.015728343287529e-08,4.218410214890112e-08,4.69809198697102e-08,5.5728652420935654e-08,8.435751373676661e-08,1.4277241849533495e-07,2.749804213091265e-07,5.140908006522854e-07,8.151783696362659e-07,1.2001028233156463e-06,1.5939346862476772e-06,1.95650056827917e-06,2.1945497764755904e-06,2.3360276978733644e-06,2.3576220386616054e-06,2.2942513058768096e-06,2.1685652346024875e-06,1.956306715628968e-06,1.7258587387641657e-06,1.5998964890582816e-06,1.5407461558068077e-06,1.4780941270657599e-06,1.4033121481715413e-06
sh00004806,wireless application protocol,2000,3.082482880056858e-11,2.4659863040454864e-11,2.054988586704572e-11,3.412238150765237e-11,3.3425205559727593e-11,8.208220462451495e-11,9.815506691165536e-11,1.8570248662221267e-10,1.8570248662221267e-10,2.263409910885361e-10,2.0983279746692292e-10,2.09315093036011e-10,2.27361546256688e-10,4.555713703105876e-10,3.592544416714765e-10,4.026588913487648e-10,4.241973845599465e-10,5.579467294926564e-10,5.641797505364008e-10,5.240843453657718e-10,3.064315081442131e-10,4.5095541537087946e-10,5.538849314717137e-10,5.239147305475493e-10,5.462405012439981e-10,1.2349621201660342e-09,5.720614190189512e-09,2.3170153606767123e-08,4.500433350885474e-08,6.997304327825495e-08,8.861800520977766e-08,1.0094099698509543e-07,1.09971600583839e-07,1.145944018407111e-07,1.0547026600098748e-07,9.013457180678411e-08,7.234310027861331e-08,5.883450768686444e-08,5.111212118675902e-08,4.4809890830130716e-08,3.92528946970402e-08,3.2799601699345134e-08,2.7998842953946042e-08,2.2804977743012825e-08,1.9278258643717113e-08,1.6313699732365246e-08,1.4121922238739618e-08,1.230116649745631e-08,1.2103163197357825e-08,1.1905014974701589e-08
sh00004811,chip scale packaging,2000,0.0,0.0,3.043405805147614e-11,2.6086335472693836e-11,2.6086335472693836e-11,2.6086335472693836e-11,2.6086335472693836e-11,2.6086335472693836e-11,2.6086335472693836e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3817110154436462e-11,1.3817110154436462e-11,1.3817110154436462e-11,6.038119161412757e-11,6.038119161412757e-11,7.351972849956034e-11,1.8167961331789455e-10,7.475848685140856e-10,2.3473548199450166e-09,3.4267800239272196e-09,4.375938121779578e-09,5.451660188758391e-09,6.715412657501815e-09,7.187539908486735e-09,7.282833356222644e-09,6.494380228039276e-09,6.096761341810111e-09,5.333155337984762e-09,4.540039840104728e-09,3.3674892963416905e-09,2.941599330190987e-09,2.400762544120725e-09,1.9333658949587703e-09,1.5876025960140768e-09,1.4742094083173919e-09,1.2426692076144314e-09,1.1863874654508398e-09,1.3155945033768317e-09,1.2489602269072364e-09,1.143989587583581e-09,9.268577988441606e-10,9.428239462298353e-10,1.0598958197216568e-09,1.240767015173172e-09
sh00004813,bluetooth technology,2000,1.4755179716940958e-11,1.1804143773552766e-11,9.836786477960638e-12,8.431531266823405e-12,8.431531266823405e-12,7.711053026263466e-12,7.711053026263466e-12,3.061930371948764e-11,3.061930371948764e-11,3.834974252841279e-11,3.834974252841279e-11,3.834974252841279e-11,3.063868950214932e-11,2.418269701550838e-10,2.4688618659372633e-10,2.4688618659372633e-10,2.391557477848012e-10,2.8369210651270546e-10,2.9688063218109255e-10,3.221998768977917e-10,1.3001756268837814e-10,2.834031065379605e-10,5.317086166197907e-10,5.746272807781252e-10,5.858196784812111e-10,6.882287884432284e-10,1.0650604208097193e-09,3.800888941383038e-09,9.659186276715437e-09,1.645276497729989e-08,2.34313858177293e-08,3.0582481509028314e-08,3.5356593766335976e-08,4.0508381781374983e-08,4.388413850414266e-08,4.346774511215394e-08,4.2188917116274335e-08,4.0695268496307846e-08,3.857528394233098e-08,3.89428497804644e-08,3.765665007048257e-08,3.603253863734437e-08,3.550464670777037e-08,3.50715686274285e-08,3.448308525081617e-08,3.3389484057086815e-08,3.2653573259261044e-08,3.311680642330746e-08,3.343109602066407e-08,3.287198123251567e-08
sh00004817,morini motorcycle,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4909202840561265e-11,1.4909202840561265e-11,1.4909202840561265e-11,1.4909202840561265e-11,1.4909202840561265e-11,8.373440234838675e-11,9.687498719879173e-11,8.832812110694453e-11,8.832812110694453e-11,8.832812110694453e-11,8.832812110694453e-11,8.832812110694453e-11,2.5559153503979762e-11,1.2418568653574776e-11,6.056231904860709e-12,1.822440412865437e-11,3.022890767066601e-11,3.022890767066601e-11,6.32324639077935e-11,1.0880295077596104e-10,1.6813990279450153e-10,2.2127332505965976e-10,2.346789498841595e-10,2.619943666776996e-10,3.148857444631606e-10,2.8188218822603316e-10,2.498577019885825e-10,2.0073866279541567e-10,1.9792017528853989e-10,1.8813399251170282e-10,1.6050650887754004e-10,1.0761513109207904e-10,1.0761513109207904e-10,8.801289855650144e-11,7.779498573112775e-11,2.7480050972845352e-11,1.1692436701388991e-11,0.0,0.0,0.0
sh00004949,microreactors,2000,1.9659133720234534e-08,1.8383934277665936e-08,1.8059010465272994e-08,1.7732520264657214e-08,2.0484751478422325e-08,1.9712172527211868e-08,2.146761284412982e-08,2.2305365249275507e-08,2.3557506772678823e-08,2.452583847321689e-08,2.8440053120066492e-08,3.398137537726934e-08,3.71142914308366e-08,3.953185873591313e-08,4.155940617339704e-08,4.37411870270981e-08,4.559268439918322e-08,4.264846073966695e-08,3.778261543758789e-08,3.6251892196470514e-08,3.4250317913169555e-08,3.270370972046394e-08,3.437713972168077e-08,3.383443658131718e-08,3.5501430754968684e-08,3.6753331944825285e-08,3.6864055005010014e-08,4.567462551428671e-08,4.736237042240228e-08,5.248380128116839e-08,5.732989628264613e-08,6.485269006738039e-08,7.394800037387383e-08,8.79315712128324e-08,9.805926601467808e-08,1.1052450500152546e-07,1.2664251904401634e-07,1.3576874091746666e-07,1.3917063021649601e-07,1.4556444264838107e-07,1.468615043504722e-07,1.4392349599799482e-07,1.3809447928919694e-07,1.2824155635927328e-07,1.2617722062021768e-07,1.2890792633731986e-07,1.252800019478441e-07,1.2339179879019188e-07,1.185955795429683e-07,1.256301779550828e-07
sh00005119,banana leaf craft,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,0.0,1.1505048897702303e-11,1.1505048897702303e-11,9.827695601760666e-11,2.1251040411523244e-10,3.139250030560957e-10,3.998218641086483e-10,4.926683327172959e-10,5.720011131415959e-10,5.720011131415959e-10,5.264017832740109e-10,4.658399459828949e-10,4.702469366283221e-10,4.258368657694689e-10,3.7392935969826624e-10,2.8309153037626393e-10,2.8309153037626393e-10,2.419189531239445e-10,1.8824734231743483e-10,8.242575273114433e-11,4.093896253744487e-11,0.0,0.0,0.0
sh00006763,palladium compounds,2000,1.5677279967263313e-08,1.6431020810614425e-08,1.7160001373565475e-08,1.6947939578523408e-08,1.790692370674212e-08,1.903688478581213e-08,1.8961362424134232e-08,1.8394689873980308e-08,1.909396422272328e-08,1.9430462900851423e-08,1.9785297203664794e-08,1.9303757363915904e-08,1.874499716112659e-08,1.8644042953335534e-08,1.8435050514405338e-08,1.746301561342256e-08,1.630287339700133e-08,1.539469137981245e-08,1.4810546625419552e-08,1.4633593571027655e-08,1.3757786529059298e-08,1.314053893425712e-08,1.2355271595007996e-08,1.1555658271041247e-08,1.095944581861701e-08,1.0438948880408289e-08,9.140549199977897e-09,8.377914156072158e-09,7.911006486302894e-09,7.672723473933774e-09,7.001281353776122e-09,6.3945056670368575e-09,5.685720155603123e-09,5.529765041700775e-09,5.318770020642674e-09,4.806981626736302e-09,3.736941673267356e-09,3.2740876621964848e-09,3.1382296032667063e-09,3.627937157536192e-09,3.566469816894204e-09,3.382314772010231e-09,3.2191385792143137e-09,3.097662419725739e-09,3.1399354341797378e-09,2.978734683019489e-09,2.231804771249005e-09,1.758019336587739e-09,1.5663763341944303e-09,1.6471226986503051e-09
sh00007049,pulping,2000,1.3484791352505465e-06,1.3340074928092084e-06,1.32510695773543e-06,1.3503464423739571e-06,1.3308593297589203e-06,1.3535653085217886e-06,1.3601218753296222e-06,1.3225037416738994e-06,1.3334931432689673e-06,1.322239231795613e-06,1.287491251814143e-06,1.2868534002518996e-06,1.2516849186250203e-06,1.1992092521675198e-06,1.1781045117122731e-06,1.1036679712728544e-06,1.0748680557807439e-06,1.0192818898962667e-06,9.78881714397615e-07,9.365453496553076e-07,8.923996402418874e-07,8.418757591670069e-07,8.237422094892992e-07,7.894410009887506e-07,7.614094585190903e-07,7.378876894974637e-07,7.015480906217722e-07,6.742848044693058e-07,6.466387580132285e-07,5.954849085137e-07,5.369774554944101e-07,4.893853294408209e-07,4.291009705659408e-07,3.9063767460301556e-07,3.467628851387683e-07,3.1172066923992084e-07,2.9837893982472196e-07,2.7958850759865876e-07,2.718741417833641e-07,2.775016068130457e-07,2.8153171169579513e-07,2.762920206120036e-07,2.746516378260487e-07,2.8652526033090144e-07,2.803977301710424e-07,2.7249360696588695e-07,2.459057261204997e-07,2.3092235809594092e-07,2.2830966551964927e-07,2.2400141574518279e-07
sh00009696,hedebo embroidery,2000,1.1714213626889958e-10,9.371370901511967e-11,7.809475751259971e-11,6.693836358222832e-11,6.693836358222832e-11,1.81163203486331e-10,1.9645156632394237e-10,1.6928451596858503e-10,1.770462838834863e-10,1.770462838834863e-10,3.0377450703698653e-10,3.0377450703698653e-10,1.7973531095989108e-10,1.6444694812227974e-10,1.5552243124280655e-10,1.5464318317956075e-10,1.6778376802996575e-10,6.65048918713218e-11,7.309915470551535e-11,9.769950473637046e-11,1.293761144843015e-10,1.4666014285949887e-10,2.1245240983125413e-10,2.2383677599927384e-10,2.603082694832956e-10,2.9021852332048297e-10,2.6457171869997964e-10,2.712327659098219e-10,2.564667818394373e-10,2.9220810443938584e-10,3.8635705745804216e-10,4.017211969821664e-10,4.982004273409605e-10,6.29817898726927e-10,7.261128325592686e-10,7.427447238599655e-10,7.029364263285867e-10,7.630760021875333e-10,8.568618067068228e-10,7.554532882195605e-10,6.879881813058398e-10,5.754029470157145e-10,5.574944717177755e-10,4.888866598257951e-10,3.100731799297675e-10,1.4933419035087096e-10,2.962338950529553e-10,2.637591586113208e-10,2.8564469123359974e-10,3.304117743296864e-10
