Ngram,Year_Added,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sh00005465,gambling industry,2000,8.480721904249866e-09,8.633735444629755e-09,8.315192218805169e-09,1.1056021585345974e-08,1.2165388103637019e-08,1.305967532628476e-08,1.3560664828152611e-08,1.4192422165072912e-08,1.4501566369356272e-08,1.6772536015817263e-08,1.4796927617712263e-08,1.5087239417114047e-08,1.673648216047953e-08,1.741082840896389e-08,1.810130455645201e-08,1.8770094898011373e-08,1.8304864566074223e-08,1.8444967765949124e-08,1.8187689993450143e-08,1.868765882565809e-08,2.0795794937764467e-08,2.4110245333453754e-08,2.8509676455437272e-08,4.145181478819117e-08,4.7253513401782476e-08,5.500043725221409e-08,6.492925773972171e-08,7.292570267103395e-08,8.024993469944531e-08,8.326789017227513e-08,7.910069574247019e-08,8.260049274031297e-08,8.276165295643758e-08,7.911589225764737e-08,7.817940244982311e-08,7.245443520054978e-08,7.139757313046849e-08,6.745866338150489e-08,6.218728688300472e-08,5.8871456297949846e-08,5.4828815297719036e-08,4.9843324673220664e-08,4.678545580438985e-08,4.493245520916352e-08,4.1597976164100304e-08,4.016528309129122e-08,4.1440766156935245e-08,4.102224916875674e-08,4.0158180394239686e-08,4.2080159125441885e-08
sh00006543,bicycle messengers,2001,5.262875515596455e-09,4.854523193154048e-09,4.58632485577278e-09,4.331864420741611e-09,3.821079077156611e-09,3.823396213718601e-09,3.182318765151563e-09,2.980082831299009e-09,2.7450149747500406e-09,2.5133091139027476e-09,2.395855145724348e-09,2.0552963938903967e-09,2.116649768156366e-09,2.7413201148558067e-09,3.1643193497013898e-09,3.9509584919193505e-09,4.84913562429079e-09,5.475674942733472e-09,6.5768010883545835e-09,7.600249437736802e-09,9.016498739102182e-09,9.885477052515697e-09,1.0072880558919288e-08,1.0512387176031535e-08,1.169549745938525e-08,1.2621672669819014e-08,1.2700860863519768e-08,1.2034411990249509e-08,1.2146445796093077e-08,1.2883313836884297e-08,1.3108659729623876e-08,1.4174758803723954e-08,1.3571568746793631e-08,1.4810442315010036e-08,1.578044487542713e-08,1.5795012978103706e-08,1.658862188486892e-08,1.671464668806125e-08,1.5970740141083417e-08,1.595897356676138e-08,1.4438664415125648e-08,1.3479311257199352e-08,1.309515255730872e-08,1.2686907577820284e-08,1.1798276142023301e-08,1.0473163515749482e-08,1.015190847185321e-08,1.0211499176908853e-08,9.907960311916763e-09,1.0066914491249634e-08
sh00006846,bioterrorism,2003,9.189721688479535e-09,7.376839872286211e-09,6.421273078075866e-09,5.982685958741804e-09,5.935673860162678e-09,5.741469043252235e-09,3.533322748371688e-08,3.2596993111699835e-08,3.264437073881893e-08,3.2515253831177134e-08,3.205218987990612e-08,3.213404685150396e-08,3.248212055628355e-08,8.790703462776709e-10,1.0841277459094913e-09,1.70608543066862e-09,1.7800477609765583e-09,1.9716855990154728e-09,2.494928310079311e-09,3.228404133807729e-09,5.414238977787176e-09,6.039131486557103e-09,6.083564177714448e-09,6.676904845979001e-09,8.153903956793179e-09,1.4950835328692806e-08,4.4660072886861165e-08,8.228906351266862e-08,1.848371953718548e-07,4.509670992241691e-07,6.600409807015167e-07,8.150929358418023e-07,9.690799951151644e-07,1.0723270496321952e-06,1.1495173956282173e-06,1.1376887026190043e-06,9.631772209330234e-07,8.384159804515028e-07,7.456806137423611e-07,6.363746399284942e-07,5.481483557334687e-07,4.742777038165994e-07,4.259969810436827e-07,3.836682498489388e-07,3.3812230345756487e-07,3.1014304755038505e-07,2.89038137367811e-07,2.8366027136790073e-07,2.7994181722584834e-07,2.74038551425701e-07
sh00007192,women transport workers,2000,2.78579635054621e-10,3.356450534175437e-10,3.6086169931855616e-10,3.0931002798733383e-10,2.357638925357516e-10,2.56357185479672e-10,2.9653934119752307e-10,3.1184906492438234e-10,2.3129096108592025e-10,1.8611050250519744e-10,2.0962098475669448e-10,1.9229056987574948e-10,1.2741457046185267e-10,1.8346499071936988e-10,2.034893201362044e-10,2.034893201362044e-10,1.9983188268806503e-10,2.365086078370826e-10,2.212490106797852e-10,2.478570577946204e-10,1.582819440991225e-10,2.91548627502041e-10,2.91548627502041e-10,5.41360054998449e-10,5.136884969971143e-10,7.180767082139359e-10,8.175094440684586e-10,9.25902473739423e-10,8.40976829841189e-10,9.277487369610935e-10,8.337542343036678e-10,8.925117267268221e-10,8.062316974747194e-10,8.143024776300198e-10,8.052294505781328e-10,7.127848490012008e-10,6.980649530641259e-10,6.288655846065083e-10,6.275407931395043e-10,5.841088347129692e-10,5.359690910335312e-10,4.392764202982529e-10,5.727728584084942e-10,6.130923259152685e-10,5.265321046229613e-10,4.47445096846926e-10,3.727688733087423e-10,3.345965628407758e-10,3.885171635797935e-10,2.520276877818195e-10
sh00007474,racial profiling in law enforcement,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.786748923418965e-11,1.786748923418965e-11,1.786748923418965e-11,1.786748923418965e-11,1.786748923418965e-11,1.786748923418965e-11,1.786748923418965e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2234752901412236e-12,6.392991642020388e-11,1.198982396501323e-10,2.0299002706899597e-10,4.533914647489709e-10,7.788751166843648e-10,1.2113446847777138e-09,1.7274521039802237e-09,1.9923540614926895e-09,2.376870989711272e-09,2.5680729745117657e-09,2.6209167554501283e-09,2.541303245221346e-09,2.4072368126626387e-09,2.0608474748146884e-09,1.8454968148911328e-09,1.5142427093963106e-09,1.431932499657007e-09,1.3313338987789145e-09,1.2165620242350033e-09,1.045668502678922e-09,9.413170530746052e-10,9.67731203703272e-10,1.001583400707847e-09,9.331230933773417e-10,8.117722856762488e-10
sh00009256,architecture on postage stamps,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0513157408123926e-10,1.0513157408123926e-10,1.397243669971309e-10,1.866317338767536e-10,2.002007805566665e-10,2.481303258099794e-10,3.3551565494148253e-10,2.834508699185128e-10,3.4402560562212566e-10,3.398548268204341e-10,4.1860084446351415e-10,5.526200925436748e-10,6.327626002531973e-10,6.583542560318583e-10,7.355257078004281e-10,7.97072316879469e-10,7.666503027652688e-10,6.951828398652334e-10,6.097759321286945e-10,6.100187497994267e-10,5.626247206220419e-10,4.88431580894907e-10,3.663102361122534e-10,3.663102361122534e-10,3.121243144895861e-10,2.499429274660514e-10,1.2162805683248376e-10,5.60451010997046e-11,0.0,0.0,0.0
sh00009261,slugging,2005,1.048170152305461e-07,1.0701138263013997e-07,1.0495113865703158e-07,1.0530248530887006e-07,1.0312898050416194e-07,1.0519874745128023e-07,1.0708966911110848e-07,1.1258730215435837e-07,1.1256173263166873e-07,1.1729513231578273e-07,1.214879772441779e-07,1.2701165797326148e-07,1.3093125024306122e-07,1.405131610173114e-07,1.483027466644574e-07,1.5747525203081902e-07,1.6214302077774016e-07,1.7033873790601013e-07,1.7666036493936358e-07,1.823238405782222e-07,1.8267582796587164e-07,1.8234222076844916e-07,1.809454579598603e-07,1.8304755382231703e-07,1.7975338769642732e-07,1.7743716716458626e-07,1.81396797429131e-07,1.9033823526530348e-07,1.9384154137083325e-07,2.0823410462314109e-07,2.1902160822335835e-07,2.2554979346574098e-07,2.3778602454471322e-07,2.3700856291541156e-07,2.32405263209707e-07,2.3082271533918031e-07,2.219528073921625e-07,2.1458120829762853e-07,2.212497102189221e-07,2.2043588923213134e-07,2.257722705637451e-07,2.3863536859094837e-07,2.490271856565366e-07,2.494731264646265e-07,2.5542321057060326e-07,2.448487970303682e-07,2.3470220826276547e-07,2.3359876059776222e-07,2.1952354038318188e-07,2.063092254447202e-07
sh00009296,electronic monitoring in the workplace,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.933744617094825e-12,8.933744617094825e-12,8.933744617094825e-12,9.618843221925744e-11,1.4716196217972362e-10,5.104182126561671e-10,5.928904956272899e-10,7.476530872582313e-10,8.362144895175077e-10,2.7832528677607105e-09,4.534467709550143e-09,1.0833039569062088e-08,1.4850730257139264e-08,2.1558969004861365e-08,2.553506277456842e-08,2.5644533360934055e-08,2.407700901102935e-08,2.2606936724904403e-08,1.753328620336471e-08,1.3488149216085908e-08,7.157638844718888e-09,3.634221497152344e-09,4.117294195067027e-09,4.1702497368044175e-09,4.291420106177541e-09,3.545583525190109e-09,3.707464700321493e-09,3.76786244664957e-09,3.7083581835255823e-09,3.427507216043267e-09,3.38892978709355e-09,3.2532452877431783e-09,2.921842771202998e-09,2.647165240482474e-09,2.391192822617397e-09,1.935647636222956e-09,1.7082052696951573e-09,1.4418227425475447e-09,1.1484313842164656e-09,1.0056374607056042e-09,9.130611758565814e-10,7.251970281230146e-10,7.291804946310543e-10
sh00009297,lip care preparations industry,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.721948394731011e-12,1.9988645659298397e-11,3.816106557736581e-11,3.816106557736581e-11,1.2383382811239788e-10,1.9489485818852918e-10,2.7493989228157187e-10,3.3035528677695577e-10,3.8763430164147547e-10,4.650351135916862e-10,4.650351135916862e-10,4.064553118679878e-10,3.5800569453403597e-10,3.616442681034623e-10,3.2574010750645906e-10,2.7243904156458246e-10,1.768658096963043e-10,1.768658096963043e-10,1.4977284888497066e-10,1.2716143614279118e-10,4.347782848032214e-11,1.7244646187210476e-11,0.0,0.0,0.0
sh00009298,antifoaming agents industry,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,2.6608047114835235e-11,0.0,1.72575723552829e-11,1.72575723552829e-11,6.064352591523508e-11,1.1776024996404796e-10,1.6339681988394465e-10,2.0634525041022097e-10,2.5792662450285775e-10,2.86087966808576e-10,2.86087966808576e-10,2.5814173021387887e-10,2.171264894070189e-10,2.2440071428026746e-10,2.0634435826671904e-10,1.752324654428047e-10,1.2981355078180356e-10,1.2981355078180356e-10,1.143738338165485e-10,9.827235057459558e-11,4.536155578145034e-11,2.0469481268722436e-11,0.0,0.0,0.0
