index,Ngram,Year_Added,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sh93001357,geryon,1993,4.50212949221554e-08,4.2475474321818085e-08,4.3867670430792566e-08,4.446955888000909e-08,4.2954641981237825e-08,4.2014943052944206e-08,4.2403150588506336e-08,4.350368104495485e-08,4.492733899838508e-08,4.8122676149013414e-08,5.250548384118172e-08,5.742603708629763e-08,5.8716963230057544e-08,6.184316163139667e-08,6.314884029430336e-08,6.193428787931325e-08,5.9166579673836095e-08,5.3075829432373626e-08,5.217563307047654e-08,4.976424478698013e-08,5.013565381749494e-08,4.782928502263964e-08,4.897263731246896e-08,4.792212042470378e-08,4.886334061428894e-08,4.7774554422131654e-08,4.944815548542171e-08,4.5505721445479996e-08,4.7352827212430015e-08,5.015201372794511e-08,4.9740851716761104e-08,5.1924519160552666e-08,5.166736165891044e-08,5.2856297988259e-08,5.387480458825058e-08,5.3835304767177854e-08,5.5749946841031946e-08,6.133437911775722e-08,6.49539917447444e-08,6.662249332172504e-08,6.82065384915601e-08,6.918095953640472e-08,7.216851410224435e-08,7.65016597699199e-08,7.563460669772284e-08,7.435090888854394e-08,7.666473005110696e-08,7.827150746032158e-08
sh2007002473,indirubin,2007,4.00780207025081e-09,3.5374436331558896e-09,3.617660754874167e-09,3.622423809821315e-09,4.202490757669399e-09,4.136366686668946e-09,4.655909531922235e-09,5.223828153774359e-09,5.896506003704489e-09,5.7451922405979e-09,5.637061666658688e-09,4.7664584055489335e-09,4.646119121376468e-09,3.833259397401089e-09,3.5034772989463377e-09,2.8507306505466877e-09,2.6164563719986516e-09,2.6721748563884877e-09,5.786308423476922e-09,6.076160993993632e-09,6.352157957372523e-09,6.8665100232718444e-09,7.769804093766502e-09,9.313914726773374e-09,1.0865452964938159e-08,7.837846478984746e-09,8.478908291250007e-09,9.15179162512349e-09,1.0395337855398764e-08,1.1867676937401698e-08,1.1325132114841415e-08,1.1811333759262752e-08,1.2049039253439871e-08,1.2132833251469823e-08,1.2631734362865212e-08,1.2142040313665805e-08,1.1131050565398631e-08,1.0949185272731858e-08,1.19315083473015e-08,1.1979136320295582e-08,1.1641837765633386e-08,1.1969756765127315e-08,1.1800313118513563e-08,1.1421642562292611e-08,1.163265518236819e-08,9.500671343971404e-09,9.94775517723645e-09,1.0564942500707053e-08
sh92001254,educational leadership,1992,3.1914640465091626e-07,3.290062990018994e-07,3.2344221571195547e-07,3.1830535426483457e-07,3.295946532862391e-07,3.418362384375556e-07,3.441794357057176e-07,3.287989174260986e-07,3.2258184317088655e-07,3.3529843661085833e-07,3.4334523376208394e-07,3.4621210252431104e-07,3.5230785966047386e-07,3.6378410830928404e-07,3.871347876190685e-07,4.0398572093345936e-07,4.173161237626597e-07,4.425949490189215e-07,4.88492832508807e-07,5.109144944961952e-07,5.301376407693921e-07,5.444574191017436e-07,5.551433514213087e-07,5.598153105008346e-07,5.674275740782543e-07,5.546896270656029e-07,5.703607045003309e-07,5.935255366158346e-07,6.34013055662059e-07,6.774473561833661e-07,6.929932829346269e-07,7.325436651677602e-07,7.69931628869454e-07,7.854377107542212e-07,7.762767454935363e-07,7.722643485510597e-07,7.637226266775972e-07,7.724331573612439e-07,7.56696926551757e-07,7.265903190059793e-07,7.087669889074634e-07,7.035183742812114e-07,6.527446991017832e-07,6.611415640353106e-07,6.51850687919239e-07,6.370343946654477e-07,6.37488323355917e-07,6.28305528462686e-07
sh97006312,african american juvenile delinquents,2000,6.868101226631396e-11,5.494480981305116e-11,4.578734151087597e-11,3.9246292723607976e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5478261529620697e-11,3.916036939166645e-11,5.50481961601536e-11,7.810012359055207e-11,1.0029250644258018e-10,1.1538671109859574e-10,1.6691353358990113e-10,2.1493338359102054e-10,2.195790087454265e-10,2.2584891397535245e-10,2.6203921274900056e-10,2.6915021104713585e-10,2.540560063911203e-10,2.2699591611148e-10,2.1297891030145977e-10,2.2623483443760606e-10,2.106830265802273e-10,1.9773643040415275e-10,1.8105234176969886e-10,1.888779777422681e-10,1.874110697979476e-10,1.5312535168415005e-10,1.1976132783887905e-10,1.3821067901265138e-10,9.191504898467936e-11,8.769668622240649e-11,8.744226672106694e-11,7.518284952934273e-11,6.894587678552e-11,7.179798769407775e-11
sh2005000352,upsheren,2005,8.967833420303606e-11,7.174266736242885e-11,5.978555613535737e-11,5.1244762401734893e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.717375168013057e-12,3.8780380196794844e-11,4.551318647357963e-11,8.630967964138949e-11,9.318270906872555e-11,1.2125991034696503e-10,1.8515330092529402e-10,2.0601082843598106e-10,1.872788362880914e-10,1.805460300113066e-10,1.4639656947019423e-10,1.459011646617484e-10,1.3716933789217504e-10,7.327594731384605e-11,1.337575908168441e-10,1.4062200263358678e-10,1.6829838366181982e-10,1.843724934629571e-10,2.0102429245026443e-10,2.2051118074374798e-10,2.328805511526382e-10,1.943888056473878e-10,1.7419338094975297e-10,1.465169999215199e-10,1.2379585749368515e-10,1.0076643388748759e-10,6.193417108533796e-11,4.956480067644772e-11,0.0,0.0,0.0,0.0,0.0,0.0
sh2006006045,high strength concrete bridges,2006,0.0,0.0,0.0,0.0,9.24300318822751e-12,9.24300318822751e-12,9.24300318822751e-12,9.24300318822751e-12,1.7697381258864807e-11,1.7697381258864807e-11,2.6065562406886654e-11,9.567001952553206e-11,1.266985782162016e-10,1.9747195049792307e-10,2.2043382545887194e-10,3.9020807369013634e-10,4.5140074862527943e-10,5.578664598723407e-10,5.486711724836787e-10,5.176426137930091e-10,5.104205466026951e-10,5.335625265025432e-10,4.1451358516266165e-10,4.2124483266649445e-10,3.284938630633758e-10,3.152844572719613e-10,4.073495885841589e-10,4.102714755229085e-10,4.0119401203964067e-10,3.420143270776205e-10,2.9656593500404504e-10,2.744830122120805e-10,2.262870962039492e-10,2.506561981783863e-10,2.0400077857133224e-10,1.7358804869717559e-10,1.7358804869717559e-10,1.511125183317752e-10,1.511125183317752e-10,1.4286566721311011e-10,3.465106723380248e-11,1.4833294810699472e-11,8.219633307327001e-12,2.5021492814200232e-11,3.259270928542993e-11,3.8024827499668255e-11,4.5629792999601905e-11,4.265288296168013e-11
sh2010007486,dh.9,2010,3.568572980519602e-10,3.7380636433437253e-10,3.492400101751114e-10,3.2342112172924406e-10,3.292745030009885e-10,3.0379546001839987e-10,2.685026650422235e-10,4.0743835339315405e-10,4.0397525949420476e-10,3.791810977308138e-10,3.7725719026889976e-10,3.5805415180397865e-10,3.6425415362544607e-10,3.3410237423869837e-10,1.576681518479704e-10,1.6858376847284084e-10,1.946979279188188e-10,1.7934870899912906e-10,1.7915427772249463e-10,2.2860799513334054e-10,2.926570072590641e-10,2.86468683596037e-10,2.559231115719017e-10,2.4943757724010014e-10,3.4899068456535025e-10,3.7939259373009904e-10,4.903272614320553e-10,7.630594871244067e-10,1.013321538286181e-09,1.2897234951641285e-09,1.4562796608489202e-09,1.5544174201766378e-09,1.5571317449733106e-09,1.5228195237542472e-09,1.2162027535860582e-09,1.0815627247973136e-09,1.0195813841024875e-09,9.583134608280387e-10,8.910803776399474e-10,1.6676596031685508e-09,1.7059350152741945e-09,1.818311494923762e-09,2.045043508544112e-09,2.012218091556368e-09,2.129301698255188e-09,2.3240519161915607e-09,1.6264219332429163e-09,1.721402183990639e-09
sh2004005697,chaco pottery,2004,2.055891411972821e-10,1.6447131295782568e-10,1.5378390112267642e-10,1.673540344003323e-10,1.2853757938976632e-10,1.792293515981821e-10,1.579332170994644e-10,1.4326915943290482e-10,1.4326915943290482e-10,2.1689444585597835e-10,2.2098614109257652e-10,2.1926043916994534e-10,1.9589198913776736e-10,2.1454096634153175e-10,2.2577429013649819e-10,2.4270169207696313e-10,1.547411425186139e-10,1.2734114159965567e-10,1.7058459803439722e-10,2.03541877796809e-10,1.9130987121854636e-10,1.9210741380607365e-10,1.8731072893137958e-10,1.9348932129134179e-10,1.8125836496423505e-10,1.4890171585814548e-10,9.63486666441923e-11,1.1472159432741285e-10,1.2093375011718825e-10,1.1502991713913907e-10,1.0885132477917686e-10,1.1592067286228921e-10,1.2136546232285487e-10,1.2819279467311618e-10,1.0921684241517658e-10,1.1338831312371741e-10,1.1273107001457433e-10,2.2385664700887353e-10,2.441065727530413e-10,2.1538701229308265e-10,1.7896464716917115e-10,2.0289675396150438e-10,1.7376054464327392e-10,1.906314471357616e-10,1.0645543573646016e-10,9.232552222737667e-11,1.10790626672852e-10,1.38488283341065e-10
sh96008827,blepharidachne kingii,1996,2.8198753748709393e-10,2.4520647456949265e-10,2.210632024657322e-10,1.9659059697601274e-10,1.4315586563395932e-10,1.0601720097052386e-10,8.421650281904241e-11,8.258900309675101e-11,1.1522186974374397e-10,1.2795139154546982e-10,1.7368481454647722e-10,1.6662798174979113e-10,1.6003168631531902e-10,1.5965386403788655e-10,1.447370254402193e-10,1.319472165457152e-10,1.1690756051721936e-10,7.629724183793357e-11,5.584362055118966e-10,5.963507024507399e-10,6.286362016256447e-10,6.354187572935441e-10,6.25825387544156e-10,6.63228997515348e-10,6.934133941641615e-10,2.2291181598989495e-10,2.086733444769554e-10,1.8256646888703543e-10,1.7629625537196603e-10,2.0807677802991975e-10,1.5864803915022208e-10,1.5157942758113408e-10,1.3994204208143757e-10,1.454039071686302e-10,1.3300895801426904e-10,1.8462625079556412e-10,1.3972357596322586e-10,1.3972357596322586e-10,1.0437683455639351e-10,1.0437683455639351e-10,7.52389440432972e-11,9.011197046485516e-11,2.601230837871528e-11,1.4873026421557967e-11,1.4873026421557967e-11,1.7351864158484293e-11,2.0822236990181154e-11,2.602779623772644e-11
sh94006315,bengali sufi poetry,1994,4.483916710151803e-11,3.5871333681214423e-11,2.9892778067678684e-11,2.5622381200867447e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.943644072419732e-12,6.943644072419732e-12,1.3356245177303145e-11,1.3356245177303145e-11,5.4152738345113e-11,8.851788399488747e-11,1.1659508527312694e-10,1.309492380601502e-10,1.516304150691753e-10,1.4521781396429186e-10,1.4521781396429186e-10,1.3765648343433412e-10,1.224242116412303e-10,1.2658930253246174e-10,1.0529150567301876e-10,1.1170465148107362e-10,1.2516826860701054e-10,1.2516826860701054e-10,9.950682044219355e-11,9.572689565632127e-11,9.455041412507827e-11,9.455041412507827e-11,8.60428920573015e-11,7.257927493136457e-11,7.257927493136457e-11,6.500556045832947e-11,4.9652611387531105e-11,2.6329042616758868e-11,2.6329042616758868e-11,7.742241867455694e-12,7.742241867455694e-12,7.742241867455694e-12,9.032615512031642e-12,1.0839138614437971e-11,0.0
