Ngram,Year_Added,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sh2001004105,relatedness,2001,6.045653532151668e-07,6.301176562514832e-07,6.452719948033444e-07,6.569433276844877e-07,6.835389368855288e-07,7.164149936959654e-07,7.584813985390958e-07,7.844789926879766e-07,8.082165468989234e-07,8.3817136608752e-07,8.585868909791778e-07,8.757590519600591e-07,8.933524145026645e-07,8.979251081326593e-07,9.199251394105347e-07,9.423999224664787e-07,9.478517622199336e-07,9.73248721565016e-07,9.977615451534283e-07,1.0085736016545284e-06,1.0188750665747085e-06,1.0280820778530865e-06,1.035514984894435e-06,1.0661491275059426e-06,1.0785350879933503e-06,1.097377836106651e-06,1.1265652213207433e-06,1.1529207838398481e-06,1.168062709133325e-06,1.1834950096045738e-06,1.1868781584341097e-06,1.2072715289288984e-06,1.2236117724804898e-06,1.2345116070075094e-06,1.2599670519637871e-06,1.285469810792627e-06,1.3043537269728989e-06,1.3066675665977605e-06,1.3159502650980054e-06,1.3398413095106517e-06,1.38578153491226e-06,1.3815192690094393e-06,1.3820787052161245e-06,1.4017046217925416e-06,1.4056943881535818e-06,1.4030193531356807e-06,1.3887143652291576e-06,1.3545377175212582e-06,1.3547405935940281e-06,1.3569399705207902e-06
sh2001004654,russian astrology,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8989433041889062e-11,1.8989433041889062e-11,1.8989433041889062e-11,1.8989433041889062e-11,1.8989433041889062e-11,1.8989433041889062e-11,1.8989433041889062e-11,0.0,5.476807995214677e-12,5.476807995214677e-12,5.194085489094011e-11,1.0138831688893163e-10,1.4003080689043276e-10,1.8606363919831155e-10,2.3029854858453673e-10,2.7290480986152943e-10,2.7290480986152943e-10,2.362418792335928e-10,2.0212128597802652e-10,2.087622396380289e-10,1.8246392492165294e-10,1.538189308068562e-10,1.0573586153464883e-10,1.0573586153464883e-10,1.0102545982310879e-10,9.063799859464007e-11,4.535455493313658e-11,2.562003734163376e-11,1.1701809081906175e-11,1.404217089828741e-11,1.7552713622859262e-11
sh2001006257,leadership in children,2001,1.3327974019566868e-09,1.30433187861545e-09,1.3811391220512152e-09,1.291136790735971e-09,1.2555394690186692e-09,1.2425159056401419e-09,1.3867440043502377e-09,1.5471245485129287e-09,1.6544950072670618e-09,1.5811365213145935e-09,1.5208542282683725e-09,1.4683452757251788e-09,1.1200681989041529e-09,1.2503684040535541e-09,1.1625869136436658e-09,1.1311078953429072e-09,1.0973781323126666e-09,1.2710435967622224e-09,1.4117144764688332e-09,1.6428325867337954e-09,1.380716783465154e-09,1.4612853263738593e-09,1.3425736921011756e-09,1.3585280152812145e-09,1.4564949558926177e-09,1.4795779571768237e-09,1.6332843197947827e-09,1.7184081067822543e-09,1.7114429952590017e-09,1.9855161433641425e-09,2.1152582121391243e-09,2.237758345192369e-09,2.2997606705892663e-09,2.1738468183279162e-09,2.3033578635692618e-09,2.299183267880288e-09,2.1757780993558735e-09,2.0674855275214033e-09,1.8009376504971426e-09,1.7126120947984017e-09,1.711968414253029e-09,1.6548185475687545e-09,1.5978812157353098e-09,1.6517297262073708e-09,2.087540521892941e-09,2.1193004087760588e-09,2.0285969417174356e-09,1.970270819181182e-09,2.0133597705696005e-09,2.198978190509626e-09
sh2001012425,hammill multiability intelligence test,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0165845184193033e-11,1.7936621235900167e-10,2.8840073186740614e-10,3.4316035727296624e-10,4.174100826886169e-10,4.994035819803701e-10,6.221393003943579e-10,6.754084989703455e-10,6.301665855801275e-10,6.220149157647776e-10,6.143109235586966e-10,5.725727511166464e-10,5.244963709381625e-10,4.798653577672443e-10,4.370356933490273e-10,3.532553694007845e-10,2.5237251970772993e-10,2.0531688650825076e-10,1.7280533353465037e-10,1.8272946251356766e-10,1.1034880945512019e-10,7.974343011315658e-11,5.782618365627693e-11,6.939142038753232e-11,8.67392754844154e-11
sh2002001810,khmer astrology,2002,0.0,0.0,0.0,1.5714856003791665e-11,1.5714856003791665e-11,3.884801409131151e-11,3.884801409131151e-11,3.884801409131151e-11,3.884801409131151e-11,3.884801409131151e-11,2.3133158087519844e-11,2.3133158087519844e-11,0.0,0.0,0.0,0.0,6.570292425202493e-12,6.570292425202493e-12,6.570292425202493e-12,1.2900103604377274e-11,1.2900103604377274e-11,1.2900103604377274e-11,1.2900103604377274e-11,1.2461049057689776e-11,1.2461049057689776e-11,1.2461049057689776e-11,1.2133489649520816e-11,1.2133489649520816e-11,1.2133489649520816e-11,1.2133489649520816e-11,3.567072778027607e-11,5.9822283535579e-11,7.516656097153859e-11,1.0356924048541113e-10,1.3241908363476844e-10,1.3241908363476844e-10,1.3241908363476844e-10,1.027506076254982e-10,1.0375651924933647e-10,9.630604894910505e-11,6.969607529994093e-11,4.084623215058361e-11,4.084623215058361e-11,4.5936946706832367e-11,4.5936946706832367e-11,2.0779479327691165e-11,1.2885672191962984e-11,5.9391669822902076e-12,7.1270003787482494e-12,8.908750473435312e-12
sh2002002246,differential ability scales,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.223448409515478e-11,2.223448409515478e-11,2.223448409515478e-11,2.94685590413695e-11,5.710277935024242e-11,1.7078972759852563e-10,7.32233920322908e-10,1.6811931559192392e-09,2.8063042812173246e-09,4.159573552661326e-09,4.6804142074926715e-09,5.40641902724689e-09,6.60636427210085e-09,6.977441237882814e-09,7.556549155256814e-09,7.720003454955319e-09,8.284959589409193e-09,8.689682864144416e-09,9.384731561312696e-09,9.800218313458866e-09,1.0317206740725497e-08,9.736634941260552e-09,9.770264583981924e-09,1.002331451023321e-08,1.00889515452269e-08,1.039532547740331e-08,9.766751080505667e-09,9.968415862105743e-09,1.0243230407729659e-08,9.868084354123071e-09,8.796819701740416e-09,8.547527850193731e-09,7.660156468461806e-09,9.921197348780212e-09,9.521720140027406e-09,9.65670504960344e-09,1.0262177439768205e-08,1.0902703110118872e-08
sh2002004368,pavlovian temperament survey,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6608047114835235e-11,7.321028505646865e-11,1.0605662776568586e-10,2.2057886073234556e-10,2.3346157943368185e-10,2.3346157943368185e-10,4.314626552862474e-10,6.191239406070994e-10,5.840267515631683e-10,7.476251899309259e-10,6.81912155710483e-10,8.196098898778053e-10,9.210244888186686e-10,7.981831644045454e-10,7.231835388469118e-10,7.924232262431932e-10,7.748478089312069e-10,7.569180441155002e-10,6.653763651165434e-10,6.274547230995203e-10,6.60160632508828e-10,5.536420944712057e-10,4.821821523408915e-10,4.5816866273140633e-10,4.700974104035868e-10,4.4223313602368263e-10,3.787401790998425e-10,2.7087451825209234e-10,2.778105743136046e-10,3.203739773471881e-10,1.294696919118543e-10
sh2002005093,hate in adolescence,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.652011778708809e-12,6.652011778708809e-12,6.652011778708809e-12,6.652011778708809e-12,6.652011778708809e-12,6.652011778708809e-12,1.3039143177882652e-11,6.387131399173843e-12,6.387131399173843e-12,6.387131399173843e-12,6.387131399173843e-12,6.86962813023495e-11,1.1940358077278113e-10,1.4522777226831452e-10,2.019672821841821e-10,2.4738619684518323e-10,2.4738619684518323e-10,2.6797248547134293e-10,2.3249914097142214e-10,2.347026362941358e-10,2.2323470849627824e-10,1.828707830006263e-10,1.3745186833962515e-10,1.3745186833962515e-10,1.1686557971346545e-10,9.002977431021059e-11,3.711897951706535e-11,1.6375584420215615e-11,0.0,0.0,0.0
sh2002005097,jealousy in adolescence,2002,0.0,0.0,0.0,8.254096810806593e-12,1.64015998203672e-11,1.64015998203672e-11,1.64015998203672e-11,1.64015998203672e-11,1.64015998203672e-11,1.64015998203672e-11,1.5984330426726298e-11,7.836827417165689e-12,7.836827417165689e-12,7.836827417165689e-12,1.51874207654501e-11,1.51874207654501e-11,1.51874207654501e-11,7.35059334828441e-12,7.35059334828441e-12,1.4002605126993218e-11,1.4002605126993218e-11,6.652011778708809e-12,6.652011778708809e-12,6.652011778708809e-12,6.652011778708809e-12,6.652011778708809e-12,6.30203924759495e-12,6.30203924759495e-12,6.30203924759495e-12,6.30203924759495e-12,7.380362293529785e-11,1.1944019285519454e-10,1.6238862338147086e-10,2.0250981843819967e-10,2.6306836867614637e-10,2.6803696216913334e-10,2.8862325079529304e-10,2.37223150349543e-10,2.392062981225264e-10,2.128525842684922e-10,1.8280493438438405e-10,1.2224638414643733e-10,1.1727779065345041e-10,9.669150202729071e-11,8.05900187853378e-11,3.2970301092457734e-11,1.6375584420215615e-11,0.0,0.0,0.0
sh2002005098,social perception in old age,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0883051412578316e-12,7.0883051412578316e-12,1.3479981020303455e-11,1.3479981020303455e-11,1.3479981020303455e-11,7.114258983507784e-11,1.2741472757823606e-10,1.7392782353242708e-10,2.3685428915795216e-10,2.8084310274171086e-10,2.8084310274171086e-10,3.0371474383069797e-10,2.8186051112147735e-10,2.727727884835726e-10,2.4227089580529185e-10,2.02100919333148e-10,1.5172042987034373e-10,1.5172042987034373e-10,1.2884878878135656e-10,9.304041267580284e-11,4.5855997570549385e-11,2.2756489153381257e-11,0.0,0.0,0.0
