index,Ngram,Year_Added,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sh85001850,african american historians,2000,1.6179757707235343e-10,1.2943806165788275e-10,1.0786505138156895e-10,1.1652829990620768e-10,5.620526018807708e-11,5.620526018807708e-11,3.207585338211543e-11,4.71353883503754e-11,5.458826297734452e-11,5.458826297734452e-11,3.789859943727412e-11,6.458448755955867e-11,1.6062438581590906e-10,3.0644091133672346e-10,6.809891376001267e-10,9.36452912734095e-10,1.340421286863006e-09,1.8701922074474247e-09,2.2959959766755134e-09,2.9650598048253887e-09,3.493673513186936e-09,3.559051646153824e-09,4.162650827703253e-09,4.7371083613285366e-09,5.103951004892249e-09,5.44703874564924e-09,6.152183473971475e-09,6.805474865193402e-09,7.2784695473052506e-09,7.22650257293075e-09,7.410484671336156e-09,7.521365977457086e-09,7.915315251453122e-09,7.353741762353546e-09,6.928984211792713e-09,6.7320844196868845e-09,6.745859075705874e-09,6.849244388417481e-09,6.831287346809837e-09,6.693124173447395e-09,7.069661351372897e-09,6.929855411234666e-09,6.931826483349715e-09,7.1877025695419954e-09,6.7989004545346685e-09,6.768976372473201e-09,6.639658112206348e-09,6.050451389037759e-09
sh91002503,coniophoraceae,1991,7.458028777884707e-10,8.947240837109404e-10,1.0663484262263268e-09,1.146714175995608e-09,1.3424971134767816e-09,1.3286314270999355e-09,1.2735080529806859e-09,1.3371460684728577e-09,1.2956466296668419e-09,1.4133156787744993e-09,1.6235871139588402e-09,1.6994319840257788e-09,1.885831942985813e-09,1.9153203150474543e-09,1.9686833909103386e-09,2.0986595160112286e-09,1.921515962217362e-09,1.9545023377531834e-09,1.7795008799836864e-09,1.6046458289104797e-09,1.7988159374736158e-09,1.6519154377725442e-09,1.4105127502502972e-09,1.3853124322274875e-09,1.0090588721732375e-09,9.015047914522662e-10,8.760493600387268e-10,6.449176827492766e-10,7.594678378250056e-10,7.869917931621221e-10,6.936096419440929e-10,6.166252944758302e-10,6.436678888301271e-10,5.379980786265496e-10,5.380775626649483e-10,5.129707809319634e-10,4.4320705835535334e-10,4.0521383470881744e-10,4.041648821173638e-10,3.2688155010166374e-10,3.035821916273575e-10,2.8443923853165616e-10,1.9543447069003683e-10,2.014262769475409e-10,1.56812188730125e-10,1.5766333204270122e-10,1.7917496097918927e-10,2.239687012239866e-10
sh94000330,quechua mythology,1994,2.198792398155902e-10,1.7590339185247216e-10,1.5494839670597097e-10,1.4702861547303113e-10,8.552782985806116e-11,9.802755631037132e-11,1.1071128835122529e-10,7.506833151125849e-11,7.506833151125849e-11,8.81992886463718e-11,1.0700938201023215e-10,9.908969825223046e-11,9.159851200947676e-11,7.803239403842658e-11,9.00024211904414e-11,1.012873554869945e-10,1.0503902559252535e-10,9.64751418633788e-11,1.3355004057001374e-10,1.6548592010612317e-10,1.6568656516224856e-10,1.7871998177011935e-10,1.8563112307222266e-10,1.7393804898386504e-10,1.7371347961282956e-10,1.537193700702171e-10,1.568378408296172e-10,1.814082435856536e-10,1.6888716913061279e-10,1.5691797761967814e-10,1.5741619218451978e-10,1.6145624024252062e-10,1.6690103019872153e-10,1.4140239723173639e-10,1.2204291595176364e-10,1.328695144980114e-10,1.2664263041028967e-10,1.5545932150711524e-10,1.3401174763148585e-10,1.120583918315773e-10,1.194740075720941e-10,1.0784611547052871e-10,8.453714761943613e-11,9.949750993348035e-11,6.456281095063815e-11,6.735515790945446e-11,7.135350227338577e-11,3.797106899738889e-11
sh99000015,mpeg,1999,6.783103900613596e-09,7.060412934162263e-09,6.487432757084263e-09,6.339002167918669e-09,6.472672850576273e-09,6.610795820483074e-09,6.334068241139627e-09,7.785639545763802e-09,5.480138324481005e-08,5.626949515661181e-08,6.22243344528777e-08,6.437469156201994e-08,6.953318816015274e-08,8.623219907230584e-08,1.167331921844507e-07,1.2002430416907517e-07,2.3536456970648423e-07,4.702893947214151e-07,7.983744921741451e-07,1.1844764773866197e-06,1.4300767115128194e-06,1.7183593666364065e-06,1.9627072523357595e-06,2.134309175875244e-06,2.241713436416143e-06,2.2945903846354317e-06,2.2641208008532846e-06,2.3427776324206776e-06,2.2995356062664333e-06,2.217415040226684e-06,2.105138662863695e-06,1.9055587922862148e-06,1.66570767611156e-06,1.4188604839995844e-06,1.27499584931077e-06,1.1473783405577452e-06,1.0318748266566006e-06,9.118602896022215e-07,8.123756308987421e-07,7.377867992310843e-07,6.981266041367658e-07,5.510761531556307e-07,4.369486251382513e-07,3.728279761028297e-07,3.5267534600738217e-07,3.531238724034657e-07,3.266548158770144e-07,2.753087424258241e-07
sh2015002538,boxing rings,2015,2.083417022930023e-08,2.1306625375139282e-08,2.243837388116177e-08,2.3042700460020245e-08,2.3243110517617053e-08,2.4122755198621327e-08,2.521489641735264e-08,2.565754113783331e-08,2.5808791346619364e-08,2.589523255448161e-08,2.6266489858646688e-08,2.7781022861625822e-08,2.8473681603001314e-08,2.8833967435915042e-08,2.9726883426565787e-08,3.064040978925653e-08,3.1807101283167135e-08,3.311161945671049e-08,3.469091222668299e-08,3.643405936918603e-08,3.8253148850416115e-08,4.035372300005755e-08,4.319901031632886e-08,4.624221078870188e-08,4.857317039459146e-08,5.055405987085062e-08,5.3104448797683776e-08,5.6589841853697606e-08,6.018679583092673e-08,6.31812703643415e-08,6.610025440691367e-08,7.081766509221225e-08,7.693868454343245e-08,8.541406868496044e-08,9.041453297115429e-08,9.429094675437414e-08,1.0162256924404437e-07,1.0848601124727188e-07,1.1370958526504826e-07,1.1757988286828502e-07,1.1730652087254703e-07,1.2334497304585167e-07,1.3068401278438067e-07,1.3307623642974664e-07,1.3285790250935903e-07,1.3428376985427185e-07,1.3582950383825288e-07,1.3998917343296252e-07
sh2005020457,glass knifefishes,2005,5.293011862139707e-11,5.21523171870264e-11,4.3460264322522e-11,1.154380252102857e-10,1.7693106602838833e-10,1.8352736146286042e-10,1.8352736146286042e-10,1.8352736146286042e-10,1.8318500436780612e-10,1.8318500436780612e-10,1.1160379366690977e-10,2.6058952614807904e-11,3.176035773663369e-11,3.797668330601007e-11,3.797668330601007e-11,3.131316733684386e-11,5.536342515385531e-11,6.710470125998696e-11,6.709198821508444e-11,6.743245396591467e-11,8.046704076867885e-11,8.046704076867885e-11,8.653239930156431e-11,7.483932620447727e-11,6.255222679115872e-11,7.964572900008373e-11,7.292656904943153e-11,7.846555498601328e-11,1.1591266389181826e-10,1.1607418944665454e-10,1.1014470436911315e-10,1.252934115585675e-10,1.0919853067416417e-10,1.1056399694596232e-10,9.158804468802271e-11,7.162266216617245e-11,9.324398198007344e-11,9.37616308998341e-11,1.2036231683950786e-10,1.26714837035889e-10,1.3406488122028445e-10,2.546716582658386e-10,2.569728095988147e-10,2.740056926393246e-10,3.344342600472164e-10,3.3439645265772217e-10,3.8233036875334747e-10,4.523025565195127e-10
sh2009008284,socialist leadership,2009,1.271910121669606e-08,1.2705802310275515e-08,1.220208033688349e-08,1.2100839768705968e-08,1.2155656635029886e-08,1.1783526348127116e-08,1.1849155146158108e-08,1.1820968429308655e-08,1.1972526911342905e-08,1.2334852620461094e-08,1.2093232651884589e-08,1.200053671266648e-08,1.2425530590058433e-08,1.2134933029162813e-08,1.1822216633725467e-08,1.1014206192431843e-08,1.0537178697545798e-08,1.0720793731933131e-08,1.0309384741724603e-08,1.0148669905444115e-08,9.861340064472512e-09,9.65063719364699e-09,1.0410161818388432e-08,1.0605837082079088e-08,1.0700364373331502e-08,1.1242817673863735e-08,1.0779974527118178e-08,1.0609930897147774e-08,1.0739079863470683e-08,1.020463331692843e-08,1.0192967065630091e-08,9.582002488584777e-09,9.12220843505919e-09,9.028792340754725e-09,9.23499131333383e-09,9.814470721244576e-09,1.0265171674985118e-08,1.1153093917661204e-08,1.217554678804657e-08,1.26458366278559e-08,1.2995321368606102e-08,1.3991286430021471e-08,1.3766097943116294e-08,1.3577415344800947e-08,1.276622085227037e-08,1.2455679175571444e-08,1.2398662167095732e-08,1.2719598777889696e-08
sh97004760,tufted titmouse,2005,4.055724387580506e-08,4.139089384708194e-08,4.148324134316724e-08,4.1598738242744545e-08,4.2196233197051244e-08,3.9398873741864586e-08,3.833547765044345e-08,3.6987006629090365e-08,3.520213998869132e-08,3.4677086808194383e-08,3.751935200916958e-08,4.039911664425823e-08,4.012603175919592e-08,3.960472679224408e-08,3.983091335378806e-08,3.8922239685732334e-08,4.5720784223581996e-08,4.218177261402263e-08,4.015057148113692e-08,4.519330093439141e-08,4.677797586485503e-08,5.3426934351817416e-08,5.981174421517053e-08,5.2068842683923e-08,5.051705926390719e-08,4.8145151400336144e-08,4.2185852982506196e-08,3.997998878882017e-08,3.3048432517894325e-08,2.7239449120415793e-08,2.5557762656720972e-08,2.388542271162491e-08,2.3133215504884356e-08,2.2059891977605732e-08,2.0048528313689118e-08,1.854434395873977e-08,1.5670681476164557e-08,1.4385396378566568e-08,1.366470472142064e-08,1.2203695221035815e-08,1.162992068818948e-08,1.1358033075567087e-08,1.1200482075543074e-08,1.1874512329772863e-08,1.2643154245761677e-08,1.3116881682669519e-08,1.4016228958024792e-08,1.4011660725773978e-08
sh2003002079,sampler music,2003,2.6465059310698535e-11,2.117204744855883e-11,1.7643372873799024e-11,1.512289103468488e-11,0.0,0.0,0.0,0.0,0.0,0.0,5.284127351948672e-11,6.522923719022776e-11,7.13780874683767e-11,9.624338974588222e-11,1.201834440499118e-10,1.4839578028692987e-10,2.3257168562028166e-10,2.2253876122820976e-10,2.163320663479367e-10,2.2914046553047992e-10,2.1069213387847618e-10,1.93002940514418e-10,1.9511739694182724e-10,1.1094149160847548e-10,8.025181461828496e-11,7.988923857766521e-11,6.685099547344897e-11,6.663149942512777e-11,6.038063848515637e-11,4.250761399617252e-11,4.893531363855556e-11,4.388598958444361e-11,5.2427077064574694e-11,6.107701596464693e-11,7.232137904417918e-11,9.563034689527176e-11,8.317657871982829e-11,9.063957620173265e-11,8.35702281186203e-11,6.921044788864096e-11,1.1317956988277089e-10,9.573773222605806e-11,7.242876437496548e-11,8.73891266890097e-11,7.34984295647223e-11,8.574816782550936e-11,1.0289780139061122e-10,2.6180634049577378e-11
sh85107775,protocetidae,2004,8.521773295702695e-10,7.700623923245775e-10,7.171880733967498e-10,7.190469811830485e-10,7.312912264832518e-10,7.734920382767336e-10,5.705414930184156e-10,4.4675400581331964e-10,4.2838515968662046e-10,4.542955624781924e-10,5.197874125165544e-10,4.755089685099761e-10,5.169290065443199e-10,5.293899733265534e-10,5.110808700850963e-10,5.433148375644237e-10,5.94105296704482e-10,5.738862361516692e-10,8.004369681949683e-10,1.0488207222357296e-09,1.1560878142699175e-09,1.2257304729733155e-09,1.1687757800273232e-09,1.3399395556406332e-09,1.469527801033012e-09,1.4511978251030566e-09,1.3247871604290686e-09,1.3378150249305457e-09,1.5732083210555953e-09,1.8561431821114853e-09,1.8549497538187877e-09,1.9544600898020144e-09,1.9487822149650516e-09,1.8965841129735063e-09,1.8467105870294861e-09,1.892736738669441e-09,1.6903874991226952e-09,1.6954765493356776e-09,1.836923371844363e-09,1.8285235300103634e-09,1.7040666011206416e-09,1.8821608944016457e-09,1.6368767665713474e-09,1.5600362207403492e-09,1.2934979610230393e-09,9.022596576119257e-10,7.720594316640295e-10,8.566829034356571e-10
